time;power (watt)
07:33:23;13.06
07:33:24;13.19
07:33:25;13.24
07:33:26;13
07:33:27;12.98
07:33:28;12.99
07:33:29;13
07:33:30;12.99
07:33:31;13.01
07:33:32;13.04
07:33:33;13.04
07:33:34;13
07:33:35;13.03
07:33:36;13
07:33:37;13
07:33:38;13.09
07:33:39;12.99
07:33:40;13.01
07:33:41;13.02
07:33:42;13.01
07:33:43;13
07:33:44;13.03
07:33:45;12.98
07:33:46;12.97
07:33:47;13.06
07:33:48;13.55
07:33:49;13
07:33:50;12.98
07:33:51;12.97
07:33:52;12.99
07:33:53;13.04
07:33:54;13
07:33:55;12.98
07:33:56;13
07:33:57;12.96
07:33:58;13.05
07:33:59;12.99
07:34:00;12.98
07:34:01;12.96
07:34:02;12.99
07:34:03;12.95
07:34:04;12.93
07:34:05;12.96
07:34:06;12.94
07:34:07;12.94
07:34:08;12.96
07:34:09;12.95
07:34:10;12.93
07:34:11;12.99
07:34:12;12.93
07:34:13;12.96
07:34:14;12.97
07:34:15;12.94
07:34:16;12.93
07:34:17;12.98
07:34:18;13.01
07:34:19;12.95
07:34:20;12.98
07:34:21;12.94
07:34:22;12.94
07:34:23;12.96
07:34:24;13.01
07:34:25;12.97
07:34:26;12.97
07:34:27;12.96
07:34:28;12.93
07:34:29;12.98
07:34:30;12.94
07:34:31;12.94
07:34:32;12.96
07:34:33;12.92
07:34:34;12.95
07:34:35;12.98
07:34:36;12.95
07:34:37;12.94
07:34:38;13.03
07:34:39;12.94
07:34:40;12.96
07:34:41;13.01
07:34:42;12.95
07:34:43;12.98
07:34:44;12.97
07:34:45;12.96
07:34:46;12.94
07:34:47;13
07:34:48;12.93
07:34:49;12.96
07:34:50;12.97
07:34:51;12.94
07:34:52;12.98
07:34:53;12.96
07:34:54;12.93
07:34:55;12.92
07:34:56;12.96
07:34:57;12.95
07:34:58;12.94
07:34:59;12.97
07:35:00;12.93
07:35:01;12.95
07:35:02;12.94
07:35:03;12.92
07:35:04;12.92
07:35:05;12.92
07:35:06;12.94
07:35:07;12.87
07:35:08;12.91
07:35:09;12.89
07:35:10;12.91
07:35:11;12.9
07:35:12;12.89
07:35:13;12.9
07:35:14;12.9
07:35:15;12.92
07:35:16;12.9
07:35:17;12.92
07:35:18;12.89
07:35:19;12.89
07:35:20;12.9
07:35:21;12.89
07:35:22;12.92
07:35:23;12.89
07:35:24;12.89
07:35:25;12.9
07:35:26;12.89
07:35:27;12.89
07:35:28;12.89
07:35:29;12.92
07:35:30;12.9
07:35:31;12.92
07:35:32;12.89
07:35:33;12.9
07:35:34;12.9
07:35:35;12.9
07:35:36;12.91
07:35:37;12.89
07:35:38;12.91
07:35:39;12.9
07:35:40;12.9
07:35:41;12.89
07:35:42;12.88
07:35:43;12.9
07:35:44;12.9
07:35:45;12.91
07:35:46;12.89
07:35:47;12.88
07:35:48;12.92
07:35:49;12.92
07:35:50;12.91
07:35:51;12.91
07:35:52;12.95
07:35:53;14.55
07:35:54;12.94
07:35:55;12.92
07:35:56;12.93
07:35:57;12.91
07:35:58;12.93
07:35:59;13
07:36:00;12.97
07:36:01;12.96
07:36:02;12.93
07:36:03;12.97
07:36:04;12.95
07:36:05;12.92
07:36:06;12.95
07:36:07;12.9
07:36:08;12.92
07:36:09;12.91
07:36:10;12.91
07:36:11;12.88
07:36:12;12.91
07:36:13;12.9
07:36:14;12.9
07:36:15;12.93
07:36:16;12.89
07:36:17;12.91
07:36:18;12.9
07:36:19;12.93
07:36:20;12.9
07:36:21;12.91
07:36:22;12.88
07:36:23;12.89
07:36:24;12.92
07:36:25;12.91
07:36:26;12.92
07:36:27;12.92
07:36:28;12.89
07:36:29;12.9
07:36:30;12.91
07:36:31;12.91
07:36:32;12.89
07:36:33;12.95
07:36:34;12.9
07:36:35;12.9
07:36:36;12.91
07:36:37;12.89
07:36:38;12.92
07:36:39;12.98
07:36:40;12.91
07:36:41;12.89
07:36:42;12.92
07:36:43;12.89
07:36:44;12.88
07:36:45;12.92
07:36:46;12.87
07:36:47;12.94
07:36:48;12.91
07:36:49;12.92
07:36:50;12.87
07:36:51;12.9
07:36:52;12.87
07:36:53;12.89
07:36:54;12.91
07:36:55;12.88
07:36:56;12.91
07:36:57;12.93
07:36:58;12.91
07:36:59;12.95
07:37:00;12.93
07:37:01;12.9
07:37:02;12.9
07:37:03;12.94
07:37:04;12.92
07:37:05;12.9
07:37:06;12.93
07:37:07;12.9
07:37:08;12.91
07:37:09;12.91
07:37:10;12.91
07:37:11;12.85
07:37:12;12.9
07:37:13;12.87
07:37:14;12.87
07:37:15;12.88
07:37:16;12.88
07:37:17;12.87
07:37:18;12.89
07:37:19;12.94
07:37:20;12.86
07:37:21;12.88
07:37:22;12.85
07:37:23;12.86
07:37:24;12.89
07:37:25;12.86
07:37:26;12.86
07:37:27;12.88
07:37:28;12.86
07:37:29;12.86
07:37:30;12.89
