time;power (watt)
07:33:28;12.94
07:33:29;13.13
07:33:30;12.81
07:33:31;12.82
07:33:32;12.84
07:33:33;12.84
07:33:34;12.81
07:33:35;12.87
07:33:36;12.81
07:33:37;12.82
07:33:38;12.85
07:33:39;12.82
07:33:40;12.81
07:33:41;12.84
07:33:42;12.84
07:33:43;12.83
07:33:44;12.83
07:33:45;12.8
07:33:46;12.82
07:33:47;12.87
07:33:48;12.82
07:33:49;12.83
07:33:50;12.84
07:33:51;12.81
07:33:52;12.81
07:33:53;12.85
07:33:54;12.81
07:33:55;12.81
07:33:56;12.83
07:33:57;12.8
07:33:58;12.83
07:33:59;12.83
07:34:00;12.82
07:34:01;12.82
07:34:02;12.87
07:34:03;12.82
07:34:04;12.83
07:34:05;12.84
07:34:06;12.81
07:34:07;12.83
07:34:08;12.85
07:34:09;12.82
07:34:10;12.82
07:34:11;12.84
07:34:12;12.84
07:34:13;12.8
07:34:14;12.85
07:34:15;12.82
07:34:16;12.83
07:34:17;12.85
07:34:18;12.82
07:34:19;12.83
07:34:20;12.88
07:34:21;12.84
07:34:22;12.84
07:34:23;12.88
07:34:24;12.83
07:34:25;12.83
07:34:26;12.87
07:34:27;12.83
07:34:28;12.86
07:34:29;12.87
07:34:30;12.85
07:34:31;12.84
07:34:32;12.84
07:34:33;12.82
07:34:34;12.81
07:34:35;12.88
07:34:36;12.81
07:34:37;12.85
07:34:38;12.83
07:34:39;12.81
07:34:40;12.81
07:34:41;12.84
07:34:42;12.82
07:34:43;12.81
07:34:44;12.84
07:34:45;12.83
07:34:46;12.8
07:34:47;12.84
07:34:48;12.8
07:34:49;12.81
07:34:50;12.8
07:34:51;12.83
07:34:52;12.79
07:34:53;12.82
07:34:54;12.78
07:34:55;12.81
07:34:56;12.82
07:34:57;12.79
07:34:58;12.79
07:34:59;12.81
07:35:00;12.82
07:35:01;12.8
07:35:02;12.84
07:35:03;12.82
07:35:04;12.84
07:35:05;12.79
07:35:06;12.8
07:35:07;12.81
07:35:08;12.82
07:35:09;12.82
07:35:10;12.81
07:35:11;12.82
07:35:12;12.78
07:35:13;12.8
07:35:14;12.8
07:35:15;12.8
07:35:16;12.82
07:35:17;12.8
07:35:18;12.82
07:35:19;12.82
07:35:20;12.82
07:35:21;12.82
07:35:22;12.83
07:35:23;12.83
07:35:24;12.82
07:35:25;12.83
07:35:26;12.82
07:35:27;12.82
07:35:28;12.81
07:35:29;12.82
07:35:30;12.87
07:35:31;12.81
07:35:32;12.83
07:35:33;12.84
07:35:34;12.85
07:35:35;12.82
07:35:36;12.8
07:35:37;12.8
07:35:38;12.81
07:35:39;12.82
07:35:40;12.81
07:35:41;12.84
07:35:42;12.81
07:35:43;12.81
07:35:44;12.8
07:35:45;12.82
07:35:46;12.83
07:35:47;12.81
07:35:48;12.8
07:35:49;12.8
07:35:50;12.8
07:35:51;12.82
07:35:52;12.77
07:35:53;12.81
07:35:54;12.82
07:35:55;12.81
07:35:56;12.8
07:35:57;12.83
07:35:58;12.78
07:35:59;12.79
07:36:00;12.85
07:36:01;12.8
07:36:02;12.8
07:36:03;12.84
07:36:04;12.82
07:36:05;12.79
07:36:06;12.82
07:36:07;12.79
07:36:08;12.79
07:36:09;12.86
07:36:10;12.79
07:36:11;12.8
07:36:12;12.82
07:36:13;12.8
07:36:14;12.79
07:36:15;12.82
07:36:16;12.81
07:36:17;12.8
07:36:18;12.84
07:36:19;12.8
07:36:20;12.83
07:36:21;12.82
07:36:22;12.84
07:36:23;12.82
07:36:24;12.87
07:36:25;12.82
07:36:26;12.82
07:36:27;12.84
07:36:28;12.83
07:36:29;12.86
07:36:30;12.87
07:36:31;12.85
07:36:32;12.84
07:36:33;12.82
07:36:34;12.82
07:36:35;12.83
07:36:36;12.85
07:36:37;12.82
07:36:38;12.84
07:36:39;12.82
07:36:40;12.8
07:36:41;12.81
07:36:42;12.82
07:36:43;12.84
07:36:44;12.81
07:36:45;12.85
07:36:46;12.8
07:36:47;12.8
07:36:48;12.84
07:36:49;12.81
07:36:50;12.82
07:36:51;12.82
07:36:52;12.85
07:36:53;12.82
07:36:54;12.84
07:36:55;12.8
07:36:56;12.81
07:36:57;12.84
07:36:58;12.8
07:36:59;12.82
07:37:00;12.83
07:37:01;12.81
07:37:02;12.79
07:37:03;12.9
07:37:04;12.48
07:37:05;12.8
07:37:06;12.56
07:37:07;12.33
07:37:08;12.34
07:37:09;12.37
07:37:10;12.83
07:37:11;12.34
07:37:12;12.37
07:37:13;12.34
07:37:14;12.35
07:37:15;12.84
07:37:16;12.59
07:37:17;12.8
07:37:18;12.62
07:37:19;12.31
07:37:20;12.33
07:37:21;12.33
07:37:22;12.32
07:37:23;12.33
07:37:24;12.34
07:37:25;12.35
07:37:26;12.35
07:37:27;12.33
07:37:28;12.37
07:37:29;12.34
07:37:30;12.38
07:37:31;12.34
07:37:32;12.37
07:37:33;12.35
07:37:34;12.35
07:37:35;12.36
07:37:36;12.37
07:37:37;12.36
07:37:38;12.36
07:37:39;12.35
07:37:40;12.35
07:37:41;12.36
07:37:42;12.34
07:37:43;12.32
07:37:44;12.33
07:37:45;12.32
07:37:46;12.33
07:37:47;12.33
07:37:48;12.36
07:37:49;12.32
