time elapsed;power;
1;1,493;
2;1,492;
3;1,492;
4;1,493;
5;1,492;
6;1,493;
7;1,492;
8;1,494;
9;1,492;
10;1,492;
11;1,494;
12;10,35;
13;21,6;
14;22,2;
15;22,9;
16;21,0;
17;21,4;
18;20,9;
19;20,8;
20;22,7;
21;18,95;
22;16,42;
23;16,42;
24;12,21;
25;15,84;
26;15,22;
27;15,74;
28;15,56;
29;17,12;
30;16,64;
31;15,22;
32;15,38;
33;15,02;
34;15,18;
35;15,03;
36;14,67;
37;14,7;
38;15,81;
39;15,86;
40;15,82;
41;18,12;
42;16,13;
43;11,82;
44;13,98;
45;14,58;
46;15,43;
47;13,05;
48;12,85;
49;13,06;
50;12,65;
51;12,67;
52;12,66;
53;13,31;
54;12,82;
55;13,63;
56;12,67;
57;12,65;
58;12,65;
59;12,65;
60;12,66;
61;12,66;
62;12,72;
63;13,16;
64;14,04;
65;16,03;
66;15,86;
67;16,08;
68;16,2;
69;15,14;
70;13,07;
71;13,08;
72;13,08;
73;13,05;
74;13,35;
75;13,03;
76;13,44;
77;12,61;
78;12,61;
79;12,6;
80;12,62;
81;12,8;
82;12,61;
83;12,62;
84;12,61;
85;12,6;
86;12,61;
87;12,6;
88;12,6;
89;12,61;
90;12,61;
91;12,6;
92;12,6;
93;12,61;
94;12,61;
95;12,61;
96;13,11;
97;12,02;
98;4,79;
99;1,845;
100;1,841;
101;1,837;
102;1,839;
103;1,837;
104;1,836;
105;1,84;
106;1,837;
107;1,835;
108;1,84;
109;1,834;
110;1,835;
111;1,839;
112;1,835;
113;1,835;
114;1,839;
115;1,834;
116;1,835;
117;1,84;
118;1,836;
119;1,836;
120;1,838;
