time elapsed;power;
1;12,09;
2;12,03;
3;12,1;
4;12,01;
5;13,3;
6;12,02;
7;12,01;
8;12,13;
9;12,0;
10;12,08;
11;12,01;
12;12,09;
13;12,02;
14;12,32;
15;12,02;
16;12,41;
17;12,02;
18;12,01;
19;12,09;
20;12,0;
21;12,1;
22;12,01;
23;12,11;
24;12,0;
25;12,01;
26;12,02;
27;12,02;
28;12,08;
29;12,01;
30;12,09;
31;12,01;
32;12,1;
33;12,02;
34;12,09;
35;12,01;
36;12,0;
37;12,03;
38;12,01;
39;12,1;
40;12,01;
41;12,11;
42;12,01;
43;12,1;
44;12,0;
45;12,04;
46;12,04;
47;12,01;
48;12,04;
49;12,02;
50;12,11;
51;12,0;
52;12,13;
53;12,01;
54;12,09;
55;12,04;
56;12,01;
57;12,02;
58;12,04;
59;12,1;
60;12,01;
61;12,12;
62;12,02;
63;12,1;
64;12,02;
65;12,09;
66;12,91;
67;12,04;
68;12,0;
69;12,02;
70;12,13;
71;12,01;
72;12,1;
73;12,04;
74;12,1;
75;12,0;
76;12,03;
77;12,02;
78;12,01;
79;12,13;
80;11,99;
81;12,1;
82;12,03;
83;12,11;
84;12,01;
85;12,12;
86;12,01;
87;12,02;
88;12,02;
89;12,02;
90;12,12;
91;12,04;
92;12,13;
93;12,03;
94;12,11;
95;12,01;
96;12,02;
97;12,03;
98;12,01;
99;12,12;
100;12,01;
101;12,12;
102;12,02;
103;12,11;
104;12,02;
105;12,12;
106;12,02;
107;12,02;
108;12,01;
109;12,22;
110;12,15;
111;12,16;
112;12,16;
113;12,01;
114;12,16;
115;12,03;
116;12,03;
117;12,01;
118;12,02;
119;12,08;
120;12,01;
121;12,1;
122;12,03;
123;12,1;
124;12,02;
125;12,1;
126;13,26;
127;11,99;
128;12,01;
129;12,03;
130;12,09;
131;12,01;
132;12,1;
133;12,01;
134;12,11;
135;12,03;
136;12,08;
137;12,01;
138;12,03;
139;12,03;
140;12,02;
141;12,11;
142;12,0;
143;12,11;
144;12,02;
145;12,09;
146;12,01;
147;12,02;
148;12,0;
149;12,01;
150;12,12;
151;12,0;
152;12,1;
153;12,02;
154;12,09;
155;12,01;
156;12,11;
157;12,0;
158;12,02;
159;12,03;
160;12,0;
161;12,12;
162;12,02;
163;12,1;
164;12,02;
165;12,11;
166;11,99;
167;12,02;
168;12,02;
169;12,19;
170;12,17;
171;12,01;
172;12,1;
173;12,02;
174;12,17;
175;12,0;
176;12,12;
177;12,01;
178;12,0;
179;12,03;
180;12,02;
181;12,1;
