time elapsed;power;
1;11,72;
2;12,12;
3;11,81;
4;11,72;
5;11,73;
6;11,88;
7;11,77;
8;11,72;
9;11,72;
10;11,71;
11;11,73;
12;11,73;
13;12,23;
14;11,71;
15;11,74;
16;11,73;
17;11,71;
18;11,72;
19;11,72;
20;11,91;
21;11,72;
22;11,72;
23;11,7;
24;11,72;
25;14,04;
26;12,08;
27;11,71;
28;11,75;
29;11,71;
30;11,73;
31;11,71;
32;11,72;
33;12,01;
34;11,73;
35;11,73;
36;11,74;
37;11,9;
38;11,72;
39;11,98;
40;11,77;
41;11,72;
42;11,72;
43;11,71;
44;11,73;
45;11,72;
46;12,35;
47;11,72;
48;11,72;
49;11,72;
50;11,74;
51;11,71;
52;11,88;
53;11,84;
54;11,8;
55;11,72;
56;11,8;
57;12,11;
58;11,85;
59;12,2;
60;11,8;
61;11,81;
62;11,78;
63;11,72;
64;11,88;
65;11,71;
66;12,02;
67;11,83;
68;11,79;
69;11,72;
70;11,88;
71;11,72;
72;12,4;
73;11,83;
74;11,77;
75;11,71;
76;11,89;
77;11,73;
78;11,8;
79;12,32;
80;11,79;
81;11,71;
82;11,88;
83;11,72;
84;11,79;
85;13,24;
86;11,99;
87;11,72;
88;11,88;
89;11,73;
90;11,8;
91;11,82;
92;12,4;
93;11,71;
94;11,9;
95;11,71;
96;11,81;
97;11,81;
98;11,9;
99;12,03;
100;11,91;
101;11,73;
102;11,93;
103;12,0;
104;11,78;
105;12,19;
106;11,91;
107;11,72;
108;11,8;
109;11,81;
110;11,79;
111;11,71;
112;12,34;
113;11,72;
114;11,78;
115;11,81;
116;11,8;
117;11,75;
118;12,48;
119;11,91;
120;11,79;
121;11,82;
122;11,78;
123;11,72;
124;11,9;
125;12,21;
126;11,79;
127;11,81;
128;11,8;
129;11,72;
130;11,86;
131;12,01;
132;12,09;
133;11,8;
134;11,79;
135;11,71;
136;11,89;
137;11,71;
138;12,39;
139;11,79;
140;11,78;
141;11,72;
142;11,8;
143;11,72;
144;11,93;
145;12,16;
146;13,44;
147;11,73;
148;11,73;
149;11,71;
150;11,73;
151;12,23;
152;11,81;
153;11,71;
154;11,72;
155;11,71;
156;11,72;
157;11,72;
158;12,2;
159;11,71;
160;11,72;
161;11,73;
162;11,71;
163;11,72;
164;12,1;
165;11,95;
166;11,71;
167;11,72;
168;12,08;
169;11,82;
170;11,71;
171;12,21;
172;11,85;
173;11,71;
174;11,72;
175;11,71;
176;11,72;
177;12,01;
178;12,23;
179;12,14;
180;11,72;
181;11,72;
