time;power (watt)
14:58:44;10,99
14:58:45;11,24
14:58:46;11,01
14:58:47;11,02
14:58:48;11,05
14:58:49;11,05
14:58:50;11
14:58:51;11,06
14:58:52;11
14:58:53;11,03
14:58:54;11,03
14:58:55;11,02
14:58:56;11,03
14:58:57;11,09
14:58:58;11,07
14:58:59;11,03
14:59:00;11,06
14:59:01;11,01
14:59:02;11,02
14:59:03;11,07
14:59:04;11,01
14:59:05;11,02
14:59:06;11,05
14:59:07;11,05
14:59:08;11
14:59:09;11,08
14:59:10;10,99
14:59:11;11,03
14:59:12;11,04
14:59:13;11,03
14:59:14;11,02
14:59:15;11,07
14:59:16;11,02
14:59:17;11,04
14:59:18;11,03
14:59:19;11,04
14:59:20;11,01
14:59:21;11,06
14:59:22;10,99
14:59:23;11,03
14:59:24;11,06
14:59:25;11,05
14:59:26;11
14:59:27;11,07
14:59:28;11
14:59:29;11,04
14:59:30;11,13
14:59:31;11,02
14:59:32;11
14:59:33;11,06
14:59:34;11
14:59:35;11,02
14:59:36;11,04
14:59:37;11,04
14:59:38;11,02
14:59:39;11,06
14:59:40;11,02
14:59:41;11,02
14:59:42;11,05
14:59:43;11,03
14:59:44;11
14:59:45;11,05
14:59:46;11
14:59:47;11,04
14:59:48;11,04
14:59:49;11,04
14:59:50;11,06
14:59:51;11,06
14:59:52;11,01
14:59:53;11
14:59:54;11,03
14:59:55;11,01
14:59:56;11,03
14:59:57;11,01
14:59:58;11,03
14:59:59;11
15:00:00;11,01
15:00:01;10,99
15:00:02;11
15:00:03;11,04
15:00:04;12,4
15:00:05;11,01
15:00:06;11,01
15:00:07;11,05
15:00:08;11,01
15:00:09;11,01
15:00:10;11,04
15:00:11;11,01
15:00:12;11,03
15:00:13;11,02
15:00:14;11,05
15:00:15;11,01
15:00:16;11,01
15:00:17;11,01
15:00:18;11,02
15:00:19;11,02
15:00:20;10,99
15:00:21;11,02
15:00:22;10,99
15:00:23;11,01
15:00:24;11,01
15:00:25;11,02
15:00:26;11
15:00:27;11,03
15:00:28;11
15:00:29;11,02
15:00:30;11,02
15:00:31;11,02
15:00:32;11
15:00:33;11,03
15:00:34;11,02
15:00:35;11
15:00:36;11,02
15:00:37;10,98
15:00:38;11,02
15:00:39;11,14
15:00:40;11,01
15:00:41;11
15:00:42;11
15:00:43;11,02
15:00:44;11
