time;power (watt)
10:11:20;12,52
10:11:21;12,7
10:11:22;12,43
10:11:23;12,48
10:11:24;12,48
10:11:25;12,46
10:11:26;12,47
10:11:27;12,5
10:11:28;12,59
10:11:29;12,46
10:11:30;12,55
10:11:31;12,48
10:11:32;12,56
10:11:33;12,5
10:11:34;12,53
10:11:35;12,51
10:11:36;12,58
10:11:37;12,51
10:11:38;12,52
10:11:39;12,54
10:11:40;12,56
10:11:41;12,56
10:11:42;12,56
10:11:43;12,56
10:11:44;12,76
10:11:45;12,56
10:11:46;12,49
10:11:47;12,49
10:11:48;12,55
10:11:49;12,51
10:11:50;12,51
10:11:51;12,49
10:11:52;12,51
10:11:53;12,45
10:11:54;12,52
10:11:55;12,48
10:11:56;12,46
10:11:57;12,52
10:11:58;12,48
10:11:59;12,46
10:12:00;12,55
10:12:01;12,46
10:12:02;12,46
10:12:03;12,5
10:12:04;12,54
10:12:05;12,45
10:12:06;12,56
10:12:07;12,47
10:12:08;12,54
10:12:09;12,49
10:12:10;12,59
10:12:11;12,5
10:12:12;12,53
10:12:13;12,49
10:12:14;12,49
10:12:15;12,49
10:12:16;12,53
10:12:17;12,46
10:12:18;12,51
10:12:19;12,46
10:12:20;12,48
10:12:21;12,44
10:12:22;12,52
10:12:23;12,46
10:12:24;12,49
10:12:25;12,47
10:12:26;12,45
10:12:27;12,49
10:12:28;12,56
10:12:29;12,44
10:12:30;12,49
10:12:31;12,5
10:12:32;12,49
10:12:33;12,49
10:12:34;12,5
10:12:35;12,49
10:12:36;12,55
10:12:37;12,51
10:12:38;12,52
10:12:39;12,51
10:12:40;12,74
10:12:41;12,53
10:12:42;12,58
10:12:43;12,56
10:12:44;12,54
10:12:45;12,91
10:12:46;12,55
10:12:47;12,59
10:12:48;12,58
10:12:49;12,53
10:12:50;12,54
10:12:51;12,51
10:12:52;12,56
10:12:53;12,48
10:12:54;12,5
10:12:55;12,46
10:12:56;12,46
10:12:57;12,45
10:12:58;12,5
10:12:59;12,44
10:13:00;12,48
10:13:01;12,48
10:13:02;12,46
10:13:03;12,46
10:13:04;12,49
10:13:05;12,46
10:13:06;12,44
10:13:07;12,49
10:13:08;12,43
10:13:09;12,5
10:13:10;14,13
10:13:11;12,47
10:13:12;12,45
10:13:13;12,52
10:13:14;12,42
10:13:15;12,44
10:13:16;12,61
10:13:17;12,45
10:13:18;12,46
10:13:19;12,47
10:13:20;12,49
