time elapsed;power;
1;11,68;
2;11,69;
3;11,66;
4;11,66;
5;11,95;
6;11,82;
7;12,03;
8;11,69;
9;11,69;
10;11,66;
11;11,68;
12;11,68;
13;12,71;
14;11,66;
15;11,67;
16;11,64;
17;11,7;
18;11,67;
19;12,8;
20;11,9;
21;12,0;
22;11,64;
23;11,67;
24;11,7;
25;11,7;
26;11,73;
27;11,73;
28;11,71;
29;11,73;
30;11,71;
31;12,22;
32;11,7;
33;11,73;
34;11,72;
35;11,73;
36;11,81;
37;11,72;
38;11,78;
39;11,78;
40;11,75;
41;11,75;
42;11,71;
43;11,67;
44;11,73;
45;11,69;
46;11,69;
47;11,71;
48;11,67;
49;11,64;
50;11,7;
51;12,27;
52;11,64;
53;11,68;
54;11,66;
55;11,7;
56;11,66;
57;11,65;
58;11,89;
59;11,67;
60;11,93;
61;12,07;
62;11,7;
63;11,67;
64;11,66;
65;11,68;
66;11,66;
67;11,64;
68;11,69;
69;11,78;
70;11,64;
71;11,7;
72;12,46;
73;11,64;
74;11,7;
75;11,66;
76;11,66;
77;11,66;
78;11,7;
79;11,85;
80;11,66;
81;11,68;
82;12,07;
83;11,69;
84;11,7;
85;11,69;
86;11,68;
87;11,7;
88;12,0;
89;11,98;
90;11,74;
91;11,84;
92;11,89;
93;11,71;
94;11,97;
95;11,66;
96;11,66;
97;11,96;
98;12,05;
99;11,7;
100;11,73;
101;11,71;
102;12,03;
103;11,72;
104;11,71;
105;11,74;
106;11,74;
107;11,72;
108;11,74;
109;11,72;
110;11,69;
111;11,73;
112;11,73;
113;11,71;
114;11,75;
115;11,75;
116;12,73;
117;11,72;
118;11,68;
119;11,65;
120;11,67;
121;11,69;
