time;power (watt)
15:45:43;10,57
15:45:44;10,78
15:45:45;10,64
15:45:46;10,57
15:45:47;10,62
15:45:48;10,59
15:45:49;10,58
15:45:50;10,57
15:45:51;10,65
15:45:52;10,57
15:45:53;10,58
15:45:54;10,6
15:45:55;10,59
15:45:56;10,57
15:45:57;10,63
15:45:58;10,59
15:45:59;10,61
15:46:00;10,62
15:46:01;10,59
15:46:02;10,59
15:46:03;10,63
15:46:04;10,59
15:46:05;10,59
15:46:06;10,6
15:46:07;10,59
15:46:08;10,59
15:46:09;10,58
15:46:10;10,57
15:46:11;10,65
15:46:12;10,57
15:46:13;10,61
15:46:14;10,58
15:46:15;10,6
15:46:16;10,57
15:46:17;10,59
15:46:18;10,57
15:46:19;10,58
15:46:20;10,56
15:46:21;10,57
15:46:22;10,59
15:46:23;10,57
15:46:24;10,58
15:46:25;10,61
15:46:26;10,58
15:46:27;10,58
15:46:28;10,59
15:46:29;10,58
15:46:30;10,58
15:46:31;10,59
15:46:32;10,58
15:46:33;10,6
15:46:34;10,57
15:46:35;10,61
15:46:36;10,58
15:46:37;10,59
15:46:38;10,63
15:46:39;10,58
15:46:40;10,58
15:46:41;10,59
15:46:42;10,55
15:46:43;10,58
15:46:44;10,56
15:46:45;10,61
15:46:46;10,57
15:46:47;10,58
15:46:48;10,59
15:46:49;10,59
15:46:50;10,61
15:46:51;10,58
15:46:52;10,58
15:46:53;10,59
15:46:54;10,56
15:46:55;10,58
15:46:56;10,58
15:46:57;10,58
15:46:58;10,6
15:46:59;10,6
15:47:00;10,55
15:47:01;10,62
15:47:02;10,57
15:47:03;10,59
15:47:04;10,61
15:47:05;10,57
15:47:06;10,58
15:47:07;10,61
15:47:08;10,57
15:47:09;10,57
15:47:10;10,62
15:47:11;10,56
15:47:12;10,59
15:47:13;10,62
15:47:14;10,59
15:47:15;10,58
15:47:16;10,62
15:47:17;10,59
15:47:18;10,59
15:47:19;10,6
15:47:20;10,59
15:47:21;10,59
15:47:22;10,62
15:47:23;10,57
15:47:24;10,59
15:47:25;10,65
15:47:26;10,6
15:47:27;10,6
15:47:28;10,62
15:47:29;10,61
15:47:30;10,56
15:47:31;10,65
15:47:32;10,58
15:47:33;10,58
15:47:34;10,61
15:47:35;10,57
15:47:36;10,57
15:47:37;10,63
15:47:38;10,6
15:47:39;10,57
15:47:40;10,66
15:47:41;10,59
15:47:42;10,6
15:47:43;10,62
