time;power (watt)
15:45:37;8,03
15:45:38;8,22
15:45:39;8,03
15:45:40;8,07
15:45:41;8,07
15:45:42;8,06
15:45:43;8,04
15:45:44;8,15
15:45:45;8,02
15:45:46;8,03
15:45:47;8,08
15:45:48;8,03
15:45:49;8,03
15:45:50;8,1
15:45:51;8,04
15:45:52;8,04
15:45:53;8,07
15:45:54;8,04
15:45:55;8,03
15:45:56;8,09
15:45:57;8,03
15:45:58;8,04
15:45:59;8,08
15:46:00;8,04
15:46:01;8,02
15:46:02;8,09
15:46:03;8,02
15:46:04;8,05
15:46:05;8,06
15:46:06;8,06
15:46:07;8,01
15:46:08;8,09
15:46:09;8,02
15:46:10;8,05
15:46:11;8,11
15:46:12;8,05
15:46:13;8,02
15:46:14;8,08
15:46:15;8,01
15:46:16;8,04
15:46:17;8,06
15:46:18;8,03
15:46:19;8,03
15:46:20;8,09
15:46:21;8,04
15:46:22;8,04
15:46:23;8,06
15:46:24;8,05
15:46:25;8,02
15:46:26;8,07
15:46:27;8
15:46:28;8,05
15:46:29;8,05
15:46:30;8,04
15:46:31;8,03
15:46:32;8,09
15:46:33;8,02
15:46:34;8,11
15:46:35;8,07
15:46:36;8,03
15:46:37;8
15:46:38;8,12
15:46:39;8,03
15:46:40;8,03
15:46:41;8,03
15:46:42;8,05
15:46:43;8,04
15:46:44;8,04
15:46:45;8,03
15:46:46;8,03
15:46:47;8,04
15:46:48;8,03
15:46:49;8,03
15:46:50;8,03
15:46:51;8,02
15:46:52;8,05
15:46:53;8,03
15:46:54;8,04
15:46:55;8,01
15:46:56;8,06
15:46:57;8,01
15:46:58;8,05
15:46:59;8,03
15:47:00;8,03
15:47:01;8,04
15:47:02;8,03
15:47:03;8,03
15:47:04;8,04
15:47:05;8,09
15:47:06;8,04
15:47:07;8,02
15:47:08;8,01
15:47:09;8,04
15:47:10;8,03
15:47:11;8,05
15:47:12;8,02
15:47:13;8,01
15:47:14;8,03
15:47:15;8,02
15:47:16;8,02
15:47:17;8,02
15:47:18;8,02
15:47:19;8,03
15:47:20;8,04
15:47:21;8,03
15:47:22;8,04
15:47:23;8,01
15:47:24;8,03
15:47:25;8,02
15:47:26;8,05
15:47:27;8,03
15:47:28;8,03
15:47:29;8,03
15:47:30;8,06
15:47:31;8,03
15:47:32;8,02
15:47:33;8,06
15:47:34;8,06
15:47:35;8,04
15:47:36;8,06
15:47:37;8,04
