time;power (watt)
15:45:47;10,7
15:45:48;10,81
15:45:49;10,7
15:45:50;10,67
15:45:51;10,69
15:45:52;10,71
15:45:53;10,68
15:45:54;10,66
15:45:55;10,73
15:45:56;10,63
15:45:57;10,68
15:45:58;10,68
15:45:59;10,67
15:46:00;10,65
15:46:01;10,71
15:46:02;10,65
15:46:03;10,69
15:46:04;10,69
15:46:05;10,69
15:46:06;10,65
15:46:07;10,71
15:46:08;10,66
15:46:09;10,67
15:46:10;10,68
15:46:11;10,67
15:46:12;10,66
15:46:13;10,72
15:46:14;10,65
15:46:15;10,67
15:46:16;10,7
15:46:17;10,66
15:46:18;10,66
15:46:19;10,71
15:46:20;10,65
15:46:21;10,66
15:46:22;10,7
15:46:23;10,66
15:46:24;10,65
15:46:25;10,71
15:46:26;10,66
15:46:27;10,67
15:46:28;10,68
15:46:29;10,65
15:46:30;10,65
15:46:31;10,7
15:46:32;10,66
15:46:33;10,67
15:46:34;10,71
15:46:35;10,66
15:46:36;10,67
15:46:37;10,7
15:46:38;10,67
15:46:39;10,66
15:46:40;10,7
15:46:41;10,65
15:46:42;10,67
15:46:43;10,7
15:46:44;10,64
15:46:45;10,66
15:46:46;10,67
15:46:47;10,67
15:46:48;10,64
15:46:49;10,7
15:46:50;10,66
15:46:51;10,67
15:46:52;10,69
15:46:53;10,66
15:46:54;10,64
15:46:55;10,73
15:46:56;10,64
15:46:57;10,65
15:46:58;10,68
15:46:59;10,66
15:47:00;10,66
15:47:01;10,7
15:47:02;10,64
15:47:03;10,66
15:47:04;10,73
15:47:05;10,66
15:47:06;10,66
15:47:07;10,7
15:47:08;10,67
15:47:09;10,65
15:47:10;10,68
15:47:11;10,66
15:47:12;10,65
15:47:13;10,64
15:47:14;10,64
15:47:15;10,66
15:47:16;10,65
15:47:17;10,69
15:47:18;10,66
15:47:19;10,66
15:47:20;10,66
15:47:21;10,64
15:47:22;10,65
15:47:23;10,65
15:47:24;10,68
15:47:25;10,65
15:47:26;10,67
15:47:27;10,67
15:47:28;10,69
15:47:29;10,66
15:47:30;10,67
15:47:31;10,65
15:47:32;10,67
15:47:33;10,67
15:47:34;10,66
15:47:35;10,68
15:47:36;10,67
15:47:37;10,68
15:47:38;10,65
15:47:39;10,67
15:47:40;10,68
15:47:41;10,65
15:47:42;10,69
15:47:43;10,68
15:47:44;10,67
15:47:45;10,66
15:47:46;10,69
15:47:47;10,66
