time;power (watt)
15:10:19;12.21
15:10:20;12.27
15:10:21;12.49
15:10:22;12.2
15:10:23;12.25
15:10:24;12.21
15:10:25;12.25
15:10:26;12.22
15:10:27;12.29
15:10:28;12.22
15:10:29;12.2
15:10:30;12.22
15:10:31;12.2
15:10:32;12.21
15:10:33;12.23
15:10:34;12.22
15:10:35;12.2
15:10:36;12.21
15:10:37;12.3
15:10:38;12.24
15:10:39;11.99
15:10:40;11.95
15:10:41;11.98
15:10:42;12.01
15:10:43;12.03
15:10:44;12.01
15:10:45;12.02
15:10:46;12.88
15:10:47;12.26
15:10:48;12.33
15:10:49;12.32
15:10:50;12.33
15:10:51;12.41
15:10:52;13.04
15:10:53;12.05
15:10:54;12.08
15:10:55;12.06
15:10:56;12.01
15:10:57;12.07
15:10:58;12.03
15:10:59;12.02
15:11:00;12.07
15:11:01;12
15:11:02;12.06
15:11:03;12.03
15:11:04;12.06
15:11:05;12
15:11:06;11.95
15:11:07;11.99
15:11:08;11.96
15:11:09;12.02
15:11:10;11.99
15:11:11;11.99
15:11:12;11.98
15:11:13;12
15:11:14;11.95
15:11:15;12.01
15:11:16;11.97
15:11:17;11.95
15:11:18;12
15:11:19;11.96
15:11:20;11.98
15:11:21;11.95
15:11:22;12.04
15:11:23;11.97
15:11:24;12.01
15:11:25;11.98
15:11:26;11.96
15:11:27;11.99
15:11:28;11.97
15:11:29;12.01
15:11:30;11.98
15:11:31;12.04
15:11:32;11.99
15:11:33;11.97
15:11:34;12.01
15:11:35;11.94
15:11:36;11.99
15:11:37;11.96
15:11:38;11.97
15:11:39;12
15:11:40;12.04
15:11:41;12.03
15:11:42;12.01
15:11:43;12.03
15:11:44;12.04
15:11:45;12.05
15:11:46;12.04
15:11:47;12.05
15:11:48;12.02
15:11:49;12.07
15:11:50;12.04
15:11:51;12.02
15:11:52;12.02
15:11:53;11.98
15:11:54;12.05
15:11:55;12.03
15:11:56;12.08
15:11:57;12.07
15:11:58;12.05
15:11:59;12.04
15:12:00;12.04
15:12:01;12.08
15:12:02;12.03
15:12:03;12.06
15:12:04;12.05
15:12:05;12.06
15:12:06;12.05
15:12:07;12.08
15:12:08;12.07
15:12:09;12.05
15:12:10;12.03
15:12:11;12.02
15:12:12;12.02
15:12:13;12
15:12:14;12.01
15:12:15;12
15:12:16;11.97
15:12:17;11.99
15:12:18;11.97
15:12:19;12.01


Average Power : 11.883902439024384
