time;power (watt)
14:52:06;11.86
14:52:07;11.86
14:52:08;12.08
14:52:09;12.05
14:52:10;11.85
14:52:11;11.87
14:52:12;11.85
14:52:13;12.1
14:52:14;11.9
14:52:15;11.85
14:52:16;11.84
14:52:17;11.88
14:52:18;11.85
14:52:19;11.83
14:52:20;11.9
14:52:21;11.84
14:52:22;12.17
14:52:23;11.62
14:52:24;11.59
14:52:25;11.58
14:52:26;11.62
14:52:27;11.58
14:52:28;11.61
14:52:29;11.64
14:52:30;11.61
14:52:31;11.59
14:52:32;11.66
14:52:33;11.59
14:52:34;11.63
14:52:35;11.63
14:52:36;11.62
14:52:37;11.59
14:52:38;11.72
14:52:39;11.64
14:52:40;11.67
14:52:41;11.71
14:52:42;11.63
14:52:43;11.66
14:52:44;11.71
14:52:45;11.59
14:52:46;11.62
14:52:47;11.63
14:52:48;11.62
14:52:49;11.59
14:52:50;11.69
14:52:51;11.58
14:52:52;11.59
14:52:53;11.63
14:52:54;11.61
14:52:55;11.58
14:52:56;11.65
14:52:57;11.57
14:52:58;11.61
14:52:59;11.63
14:53:00;11.59
14:53:01;12.31
14:53:02;11.98
14:53:03;11.85
14:53:04;11.87
14:53:05;11.9
14:53:06;11.87
14:53:07;12.26
14:53:08;11.98
14:53:09;11.84
14:53:10;11.87
14:53:11;11.88
14:53:12;11.86
14:53:13;11.85
14:53:14;11.88
14:53:15;11.84
14:53:16;12.49
14:53:17;11.6
14:53:18;11.61
14:53:19;11.6
14:53:20;11.62
14:53:21;11.6
14:53:22;11.62
14:53:23;11.61
14:53:24;11.62
14:53:25;11.59
14:53:26;11.63
14:53:27;11.59
14:53:28;11.62
14:53:29;11.58
14:53:30;11.62
14:53:31;11.59
14:53:32;11.61
14:53:33;11.58
14:53:34;11.61
14:53:35;11.59
14:53:36;11.61
14:53:37;11.58
14:53:38;11.61
14:53:39;11.59
14:53:40;11.6
14:53:41;11.76
14:53:42;12.48
14:53:43;11.86
14:53:44;12.29
14:53:45;11.58
14:53:46;11.62
14:53:47;11.59
14:53:48;11.62
14:53:49;11.59
14:53:50;11.6
14:53:51;11.6
14:53:52;11.61
14:53:53;11.6
14:53:54;11.61
14:53:55;11.59
14:53:56;11.62
14:53:57;11.6
14:53:58;11.61
14:53:59;11.58
14:54:00;11.63
14:54:01;11.59
14:54:02;11.61
14:54:03;11.57
14:54:04;11.62
14:54:05;11.59
14:54:06;11.63
;
;
Average Power : 11.529444444444428;
