time;power (watt)
14:52:09;11.69
14:52:10;11.75
14:52:11;11.6
14:52:12;11.63
14:52:13;11.63
14:52:14;11.64
14:52:15;11.6
14:52:16;11.67
14:52:17;11.61
14:52:18;11.6
14:52:19;11.63
14:52:20;11.61
14:52:21;11.6
14:52:22;11.65
14:52:23;11.61
14:52:24;11.62
14:52:25;11.66
14:52:26;11.6
14:52:27;11.61
14:52:28;11.65
14:52:29;11.59
14:52:30;11.62
14:52:31;11.62
14:52:32;11.64
14:52:33;11.6
14:52:34;11.67
14:52:35;11.6
14:52:36;11.61
14:52:37;11.65
14:52:38;11.63
14:52:39;11.62
14:52:40;11.59
14:52:41;11.61
14:52:42;11.62
14:52:43;11.62
14:52:44;11.6
14:52:45;11.62
14:52:46;11.61
14:52:47;11.61
14:52:48;11.61
14:52:49;11.6
14:52:50;11.62
14:52:51;11.62
14:52:52;11.59
14:52:53;11.62
14:52:54;11.57
14:52:55;11.63
14:52:56;11.61
14:52:57;11.62
14:52:58;11.61
14:52:59;11.68
14:53:00;11.59
14:53:01;11.62
14:53:02;11.63
14:53:03;11.62
14:53:04;11.59
14:53:05;11.65
14:53:06;11.6
14:53:07;11.61
14:53:08;11.66
14:53:09;11.61
14:53:10;11.59
14:53:11;11.66
14:53:12;11.59
14:53:13;11.62
14:53:14;11.62
14:53:15;11.62
14:53:16;11.59
14:53:17;11.68
14:53:18;11.58
14:53:19;11.62
14:53:20;11.64
14:53:21;11.61
14:53:22;11.61
14:53:23;11.65
14:53:24;11.6
14:53:25;11.62
14:53:26;11.66
14:53:27;11.61
14:53:28;11.61
14:53:29;11.64
14:53:30;11.59
14:53:31;11.61
14:53:32;11.65
14:53:33;11.63
14:53:34;11.59
14:53:35;11.67
14:53:36;11.6
14:53:37;11.64
14:53:38;11.64
14:53:39;11.62
14:53:40;11.6
14:53:41;11.66
14:53:42;11.6
14:53:43;11.62
14:53:44;11.65
14:53:45;11.61
14:53:46;11.61
14:53:47;11.65
14:53:48;11.61
14:53:49;11.61
14:53:50;11.62
14:53:51;11.62
14:53:52;11.6
14:53:53;11.65
14:53:54;11.6
14:53:55;11.63
14:53:56;11.64
14:53:57;11.62
14:53:58;11.6
14:53:59;11.64
14:54:00;11.6
14:54:01;11.6
14:54:02;11.66
14:54:03;11.62
14:54:04;11.61
14:54:05;11.66
14:54:06;11.6
14:54:07;11.61
14:54:08;11.63
14:54:09;11.63


Average Power : 11.433089430894306
