time;power (watt)
12:26:56;13.82
12:26:57;13.84
12:26:58;13.83
12:26:59;13.84
12:27:00;13.84
12:27:01;13.83
12:27:02;13.83
12:27:03;13.85
12:27:04;13.82
12:27:05;13.83
12:27:06;13.84
12:27:07;13.83
12:27:08;13.83
12:27:09;13.85
12:27:10;13.83
12:27:11;13.83
12:27:12;13.84
12:27:13;13.83
12:27:14;13.83
12:27:15;13.84
12:27:16;13.83
12:27:17;13.83
12:27:18;13.83
12:27:19;13.84
12:27:20;13.83
12:27:21;13.84
12:27:22;13.83
12:27:23;13.83
12:27:24;13.84
12:27:25;13.82
12:27:26;13.83
12:27:27;13.84
12:27:28;13.83
12:27:29;13.82
12:27:30;13.84
12:27:31;13.83
12:27:32;13.83
12:27:33;13.84
12:27:34;13.82
12:27:35;13.83
12:27:36;13.84
12:27:37;13.84
12:27:38;13.83
12:27:39;13.84
12:27:40;13.83
12:27:41;13.82
12:27:42;13.83
12:27:43;13.82
12:27:44;13.83
12:27:45;13.83
12:27:46;13.83
12:27:47;13.83
12:27:48;13.83
12:27:49;13.83
12:27:50;13.83
12:27:51;13.84
12:27:52;13.83
12:27:53;13.83
12:27:54;13.83
12:27:55;13.83
12:27:56;13.83
12:27:57;13.84
12:27:58;13.83
12:27:59;13.83
12:28:00;13.84
12:28:01;13.83
12:28:02;13.83
12:28:03;13.83
12:28:04;13.83
12:28:05;13.84
12:28:06;13.83
12:28:07;13.83
12:28:08;13.83
12:28:09;13.84
12:28:10;13.83
12:28:11;13.83
12:28:12;13.83
12:28:13;13.83
12:28:14;13.83
12:28:15;13.86
12:28:16;13.83
12:28:17;13.83
12:28:18;13.84
12:28:19;13.83
12:28:20;13.84
12:28:21;13.84
12:28:22;13.83
12:28:23;13.84
12:28:24;13.83
12:28:25;13.84
12:28:26;13.83
12:28:27;13.83
12:28:28;13.83
12:28:29;13.84
12:28:30;13.83
12:28:31;13.84
12:28:32;13.83
12:28:33;13.83
12:28:34;13.83
12:28:35;13.84
12:28:36;13.83
12:28:37;13.84
12:28:38;13.83
12:28:39;13.83
12:28:40;13.83
12:28:41;13.84
12:28:42;13.84
12:28:43;13.84
12:28:44;13.83
12:28:45;13.84
12:28:46;13.84
12:28:47;13.83
12:28:48;13.84
12:28:49;13.84
12:28:50;13.85
12:28:51;13.84
12:28:52;13.85
12:28:53;13.84
12:28:54;13.84
12:28:55;13.84
12:28:56;13.84


Average Power : 13.608780487804859
