time;power (watt)
14:20:52;12.75
14:20:53;12.75
14:20:54;12.69
14:20:55;12.73
14:20:56;12.69
14:20:57;12.7
14:20:58;12.76
14:20:59;12.7
14:21:00;12.68
14:21:01;12.73
14:21:02;12.66
14:21:03;12.69
14:21:04;12.71
14:21:05;12.71
14:21:06;12.67
14:21:07;12.76
14:21:08;12.68
14:21:09;12.71
14:21:10;12.71
14:21:11;12.71
14:21:12;12.65
14:21:13;12.74
14:21:14;12.67
14:21:15;12.7
14:21:16;12.72
14:21:17;12.68
14:21:18;12.67
14:21:19;12.71
14:21:20;12.7
14:21:21;12.67
14:21:22;12.72
14:21:23;12.68
14:21:24;12.67
14:21:25;12.71
14:21:26;12.69
14:21:27;12.67
14:21:28;12.72
14:21:29;12.67
14:21:30;12.67
14:21:31;12.74
14:21:32;12.67
14:21:33;12.7
14:21:34;12.7
14:21:35;12.68
14:21:36;12.68
14:21:37;12.72
14:21:38;12.66
14:21:39;12.67
14:21:40;12.73
14:21:41;12.65
14:21:42;12.65
14:21:43;12.73
14:21:44;12.7
14:21:45;12.67
14:21:46;11.97
14:21:47;12.66
14:21:48;12.66
14:21:49;12.7
14:21:50;12.68
14:21:51;12.68
14:21:52;12.1
14:21:53;12.67
14:21:54;12.66
14:21:55;12.72
14:21:56;12.67
14:21:57;12.65
14:21:58;12.71
14:21:59;12.64
14:22:00;12.69
14:22:01;12.69
14:22:02;12.69
14:22:03;12.66
14:22:04;12.69
14:22:05;12.65
14:22:06;12.68
14:22:07;12.73
14:22:08;12.71
14:22:09;12.67
14:22:10;12.67
14:22:11;12.69
14:22:12;12.63
14:22:13;12.71
14:22:14;12.64
14:22:15;12.66
14:22:16;12.7
14:22:17;12.66
14:22:18;12.67
14:22:19;12.69
14:22:20;12.66
14:22:21;12.65
14:22:22;12.68
14:22:23;12.65
14:22:24;12.64
14:22:25;12.69
14:22:26;11.79
14:22:27;12.67
14:22:28;12.69
14:22:29;12.67
14:22:30;12.67
14:22:31;12.67
14:22:32;12.68
14:22:33;12.67
14:22:34;12.67
14:22:35;12.63
14:22:36;12.66
14:22:37;12.69
14:22:38;12.68
14:22:39;12.66
14:22:40;12.66
14:22:41;12.67
14:22:42;12.68
14:22:43;12.65
14:22:44;12.72
14:22:45;12.68
14:22:46;12.69
14:22:47;12.65
14:22:48;12.66
14:22:49;12.72
14:22:50;12.67
14:22:51;12.64
14:22:52;12.66


Average Power : 12.46507936507939
