time;power (watt)
14:20:49;13.77
14:20:50;13.89
14:20:51;13.77
14:20:52;13.68
14:20:53;13.72
14:20:54;13.74
14:20:55;13.74
14:20:56;13.69
14:20:57;13.77
14:20:58;13.68
14:20:59;13.73
14:21:00;13.72
14:21:01;13.73
14:21:02;13.69
14:21:03;13.85
14:21:04;13.67
14:21:05;13.72
14:21:06;13.79
14:21:07;13.82
14:21:08;13.71
14:21:09;13.78
14:21:10;13.7
14:21:11;13.73
14:21:12;13.7
14:21:13;13.7
14:21:14;13.71
14:21:15;13.71
14:21:16;13.74
14:21:17;13.71
14:21:18;13.73
14:21:19;12.9
14:21:20;13.72
14:21:21;13.7
14:21:22;13.68
14:21:23;13.69
14:21:24;13
14:21:25;13.71
14:21:26;13.66
14:21:27;13.72
14:21:28;13.68
14:21:29;12.97
14:21:30;13.68
14:21:31;13.66
14:21:32;13.7
14:21:33;13.68
14:21:34;13.72
14:21:35;13.66
14:21:36;13.71
14:21:37;13.67
14:21:38;13.74
14:21:39;13.66
14:21:40;13.71
14:21:41;13.71
14:21:42;13.72
14:21:43;13.7
14:21:44;13.7
14:21:45;13.7
14:21:46;13.68
14:21:47;13.72
14:21:48;13.69
14:21:49;13.73
14:21:50;13.69
14:21:51;13.73
14:21:52;13.7
14:21:53;13.72
14:21:54;13.69
14:21:55;13.72
14:21:56;13.69
14:21:57;13.74
14:21:58;13.68
14:21:59;13.77
14:22:00;13.66
14:22:01;13.74
14:22:02;13.72
14:22:03;13.7
14:22:04;13.68
14:22:05;13.7
14:22:06;13.68
14:22:07;13.69
14:22:08;13.7
14:22:09;13.74
14:22:10;13.68
14:22:11;13.75
14:22:12;13.7
14:22:13;13.84
14:22:14;13.69
14:22:15;13.72
14:22:16;13.74
14:22:17;13.73
14:22:18;13.7
14:22:19;13.78
14:22:20;13.71
14:22:21;13.72
14:22:22;13.71
14:22:23;13.73
14:22:24;13.69
14:22:25;13.8
14:22:26;13.7
14:22:27;13.74
14:22:28;13.73
14:22:29;13.74
14:22:30;13.73
14:22:31;13.76
14:22:32;13.7
14:22:33;13.73
14:22:34;13.75
14:22:35;13.7
14:22:36;13.78
14:22:37;13.75
14:22:38;13.78
14:22:39;13.7
14:22:40;13.83
14:22:41;13.69
14:22:42;13.74
14:22:43;13.72
14:22:44;13.74
14:22:45;13.7
14:22:46;13.76
14:22:47;13.7
14:22:48;13.74
14:22:49;13.74


Average Power : 13.479186991869929
