time;power (watt)
11:41:09;13.02
11:41:10;13.69
11:41:11;13.43
11:41:12;13.23
11:41:13;13.11
11:41:14;12.89
11:41:15;12.86
11:41:16;12.9
11:41:17;12.87
11:41:18;12.94
11:41:19;12.83
11:41:20;13.84
11:41:21;12.95
11:41:22;12.81
11:41:23;13.07
11:41:24;13.55
11:41:25;12.86
11:41:26;12.89
11:41:27;13.48
11:41:28;12.83
11:41:29;12.86
11:41:30;12.82
11:41:31;13.1
11:41:32;12.82
11:41:33;12.86
11:41:34;12.81
11:41:35;13.35
11:41:36;12.83
11:41:37;12.86
11:41:38;12.83
11:41:39;12.98
11:41:40;12.99
11:41:41;12.95
11:41:42;12.8
11:41:43;12.85
11:41:44;12.95
11:41:45;13.13
11:41:46;13.15
11:41:47;13.21
11:41:48;13.34
11:41:49;13.17
11:41:50;13.18
11:41:51;13.2
11:41:52;13.13
11:41:53;13.21
11:41:54;13.18
11:41:55;13.14
11:41:56;13.14
11:41:57;13.24
11:41:58;13.18
11:41:59;13.21
11:42:00;13.24
11:42:01;13.17
11:42:02;13.37
11:42:03;13.9
11:42:04;14.09
11:42:05;13.81
11:42:06;13.13
11:42:07;13.21
11:42:08;13.2
11:42:09;13.23
11:42:10;13.21
11:42:11;13.15
11:42:12;13.12
11:42:13;13.64
11:42:14;13.08
11:42:15;13.13
11:42:16;13.1
11:42:17;13.13
11:42:18;13.07
11:42:19;13.44
11:42:20;13.07
11:42:21;13.07
11:42:22;13.12
11:42:23;13.04
11:42:24;13.11
11:42:25;13.11
11:42:26;13.06
11:42:27;13.04
11:42:28;13.04
11:42:29;13.05
11:42:30;13.05
11:42:31;12.99
11:42:32;12.98
11:42:33;12.98
11:42:34;12.98
11:42:35;12.95
11:42:36;12.98
11:42:37;12.97
11:42:38;13.22
11:42:39;13.31
11:42:40;12.93
11:42:41;12.98
11:42:42;12.94
11:42:43;13.03
11:42:44;12.84
11:42:45;12.84
11:42:46;12.84
11:42:47;12.79
11:42:48;12.83
11:42:49;13.01
11:42:50;12.94
11:42:51;12.86
11:42:52;12.81
11:42:53;12.84
11:42:54;13.56
11:42:55;12.85
11:42:56;12.83
11:42:57;12.82
11:42:58;12.82
11:42:59;12.88
11:43:00;12.83
11:43:01;12.84
11:43:02;12.85
11:43:03;12.82
11:43:04;12.82
11:43:05;12.8
11:43:06;12.81
11:43:07;13.89
11:43:08;13.68
11:43:09;12.82
11:43:10;12.81
11:43:11;12.82
11:43:12;12.79
11:43:13;12.84
11:43:14;12.77
11:43:15;12.76
11:43:16;12.81
11:43:17;12.89
11:43:18;12.83
11:43:19;12.89
11:43:20;12.97
11:43:21;13.12
11:43:22;12.96
11:43:23;13.05
11:43:24;13.7
11:43:25;13.12
11:43:26;13.14
11:43:27;13.2
11:43:28;13.18
11:43:29;13.24
11:43:30;13.15
11:43:31;13.17
11:43:32;13.19
11:43:33;13.22
11:43:34;13.17
11:43:35;13.18
11:43:36;13.22
11:43:37;13.19
11:43:38;13.17
11:43:39;13.16
11:43:40;13.32
11:43:41;13.26
11:43:42;13.28
11:43:43;13.16
11:43:44;13.21
11:43:45;13.16
11:43:46;13.58
11:43:47;13.23
11:43:48;13.18
11:43:49;13.14
11:43:50;13.26
11:43:51;13.23
11:43:52;13.51
11:43:53;13.14
11:43:54;13.03
11:43:55;13.16
11:43:56;13.09
11:43:57;13.08
11:43:58;13.13
11:43:59;13.13
11:44:00;13.08
11:44:01;13.08
11:44:02;13.09
11:44:03;13.08
11:44:04;13.06
11:44:05;13.04
11:44:06;13.05
11:44:07;13.08
11:44:08;13.07
11:44:09;13.03
11:44:10;13.62
11:44:11;13.83
11:44:12;13.91
11:44:13;12.97
11:44:14;12.94
11:44:15;12.96
11:44:16;13.01
11:44:17;12.94
11:44:18;12.97
11:44:19;12.93
11:44:20;12.98
11:44:21;13.03
11:44:22;12.95
11:44:23;13.3
11:44:24;12.95
11:44:25;12.99
11:44:26;13
11:44:27;12.98
11:44:28;12.95
11:44:29;12.94
11:44:30;13
11:44:31;13.28
11:44:32;12.98
11:44:33;12.95
11:44:34;12.96
11:44:35;13.01
11:44:36;12.94
11:44:37;12.99
11:44:38;12.94
11:44:39;12.98
11:44:40;13.38
11:44:41;13.08
