time;power (watt)
11:41:05;13.36
11:41:06;14.02
11:41:07;12.82
11:41:08;12.79
11:41:09;13.31
11:41:10;12.77
11:41:11;12.84
11:41:12;12.83
11:41:13;12.89
11:41:14;12.93
11:41:15;13.03
11:41:16;14.02
11:41:17;13.38
11:41:18;13.08
11:41:19;13.18
11:41:20;13.2
11:41:21;13.19
11:41:22;13.69
11:41:23;13.16
11:41:24;13.11
11:41:25;13.1
11:41:26;13.12
11:41:27;13.11
11:41:28;13.58
11:41:29;14.35
11:41:30;13.62
11:41:31;13.17
11:41:32;13.09
11:41:33;13.11
11:41:34;13.16
11:41:35;13.09
11:41:36;13.62
11:41:37;13.7
11:41:38;13.11
11:41:39;13.15
11:41:40;13.1
11:41:41;13.81
11:41:42;13.25
11:41:43;13.45
11:41:44;13.09
11:41:45;13.14
11:41:46;13.08
11:41:47;13.1
11:41:48;13.1
11:41:49;13.09
11:41:50;13.11
11:41:51;13.41
11:41:52;13.09
11:41:53;13.08
11:41:54;13.14
11:41:55;13.43
11:41:56;13.11
11:41:57;13.07
11:41:58;13.09
11:41:59;13.08
11:42:00;13.11
11:42:01;13.08
11:42:02;13.1
11:42:03;13.15
11:42:04;13.09
11:42:05;13.05
11:42:06;13.09
11:42:07;13.05
11:42:08;13.5
11:42:09;13.11
11:42:10;13.18
11:42:11;12.83
11:42:12;12.88
11:42:13;12.84
11:42:14;12.84
11:42:15;12.82
11:42:16;13.73
11:42:17;13.79
11:42:18;13.29
11:42:19;13.15
11:42:20;12.92
11:42:21;13.53
11:42:22;13.53
11:42:23;13.58
11:42:24;12.99
11:42:25;12.99
11:42:26;13.64
11:42:27;13.24
11:42:28;13.8
11:42:29;13
11:42:30;13.43
11:42:31;13.3
11:42:32;14.65
11:42:33;14.82
11:42:34;13.22
11:42:35;12.99
11:42:36;13.6
11:42:37;13.98
11:42:38;13.3
11:42:39;14.05
11:42:40;13.02
11:42:41;13.32
11:42:42;13.46
11:42:43;14.21
11:42:44;13.04
11:42:45;15.06
11:42:46;13.11
11:42:47;13.09
11:42:48;13.07
11:42:49;13.08
11:42:50;13.08
11:42:51;13.05
11:42:52;13.05
11:42:53;13.03
11:42:54;13.12
11:42:55;13.2
11:42:56;14.08
11:42:57;13.37
11:42:58;13.75
11:42:59;13
11:43:00;13.03
11:43:01;13.06
11:43:02;13.01
11:43:03;13.02
11:43:04;13.06
11:43:05;13.01
11:43:06;13.01
11:43:07;13.02
11:43:08;13
11:43:09;12.96
11:43:10;12.93
11:43:11;12.91
11:43:12;12.86
11:43:13;12.84
11:43:14;12.66
11:43:15;12.62
11:43:16;13.26
11:43:17;12.65
11:43:18;12.59
11:43:19;12.56
11:43:20;12.6
11:43:21;12.6
11:43:22;13.08
11:43:23;12.85
11:43:24;13.7
11:43:25;13.01
11:43:26;12.89
11:43:27;12.82
11:43:28;12.87
11:43:29;12.8
11:43:30;12.96
11:43:31;12.79
11:43:32;12.87
11:43:33;12.84
11:43:34;12.83
11:43:35;13.88
11:43:36;13.71
11:43:37;12.83
11:43:38;12.86
11:43:39;12.84
11:43:40;12.84
11:43:41;13.08
11:43:42;12.83
11:43:43;12.85
11:43:44;12.89
11:43:45;12.91
11:43:46;12.84
11:43:47;12.85
11:43:48;12.95
11:43:49;12.87
11:43:50;12.81
11:43:51;12.88
11:43:52;12.81
11:43:53;12.86
11:43:54;12.87
11:43:55;12.83
11:43:56;12.86
11:43:57;13.05
11:43:58;12.83
11:43:59;13.4
11:44:00;12.92
11:44:01;12.82
11:44:02;12.81
11:44:03;13.35
11:44:04;13.27
11:44:05;13.36
11:44:06;13.51
11:44:07;13.15
11:44:08;12.93
11:44:09;12.95
11:44:10;13.27
11:44:11;13.06
11:44:12;12.83
11:44:13;12.82
11:44:14;12.82
11:44:15;12.83
11:44:16;13.21
11:44:17;12.58
11:44:18;12.57
11:44:19;12.61
11:44:20;12.55
11:44:21;12.65
11:44:22;12.66
11:44:23;12.62
11:44:24;12.66
11:44:25;12.77
11:44:26;12.88
11:44:27;14.08
11:44:28;13.34
11:44:29;13.18
11:44:30;13.16
11:44:31;13.12
11:44:32;13.15
11:44:33;13.52
11:44:34;13.17
11:44:35;13.57
11:44:36;13.18
11:44:37;13.21
11:44:38;13.69
11:44:39;14
11:44:40;13.58
11:44:41;13.08
11:44:42;13.08
11:44:43;13.06
11:44:44;13.06
11:44:45;13.08
11:44:46;13.13
11:44:47;13.12
11:44:48;12.79
11:44:49;12.79
11:44:50;12.77
11:44:51;12.81
11:44:52;12.82
11:44:53;12.78
11:44:54;12.81
11:44:55;13.65
11:44:56;13.1
11:44:57;13.09
11:44:58;13.43
11:44:59;13.04
11:45:00;13.06
11:45:01;13.05
11:45:02;13.04
11:45:03;13.06
11:45:04;13.07
11:45:05;13.05
11:45:06;13.46
11:45:07;12.82
11:45:08;12.81
11:45:09;12.85
11:45:10;12.86
11:45:11;12.87
11:45:12;12.81
11:45:13;13.09
11:45:14;12.81
11:45:15;12.81
11:45:16;12.81
11:45:17;12.81
11:45:18;12.81
11:45:19;12.79
11:45:20;12.81
11:45:21;12.83
11:45:22;12.8
11:45:23;12.81
11:45:24;12.79
11:45:25;12.83
11:45:26;12.81
11:45:27;12.81
11:45:28;12.82
11:45:29;13.47
11:45:30;13.29
11:45:31;13.05
11:45:32;13.05
11:45:33;13.1
11:45:34;13.07
11:45:35;13.18
11:45:36;13.12
11:45:37;13.22
11:45:38;13.25
11:45:39;13.25
11:45:40;13.41
11:45:41;13.83
11:45:42;14.09
11:45:43;14.14
11:45:44;13.14
11:45:45;13.2
11:45:46;13.34
11:45:47;13.16
11:45:48;13.11
11:45:49;13.28
11:45:50;13.15
11:45:51;13.2
11:45:52;13.25
11:45:53;13.31
11:45:54;13.38
11:45:55;13.34
11:45:56;13.1
11:45:57;13.01
11:45:58;13.11
11:45:59;13.32
11:46:00;13.4
11:46:01;13.27
11:46:02;13.33
11:46:03;13.29
11:46:04;13.28
11:46:05;13.34
11:46:06;13.28
11:46:07;13.28
