time;power (watt)
11:41:13;12.65
11:41:14;12.96
11:41:15;12.36
11:41:16;12.2
11:41:17;12.7
11:41:18;12.17
11:41:19;12.22
11:41:20;12.26
11:41:21;12.18
11:41:22;12.29
11:41:23;12.24
11:41:24;12.27
11:41:25;12.56
11:41:26;12.34
11:41:27;12.36
11:41:28;12.5
11:41:29;12.37
11:41:30;12.55
11:41:31;12.35
11:41:32;12.32
11:41:33;12.3
11:41:34;12.61
11:41:35;12.34
11:41:36;12.35
11:41:37;12.36
11:41:38;12.29
11:41:39;12.86
11:41:40;12.33
11:41:41;12.36
11:41:42;12.51
11:41:43;12.41
11:41:44;12.36
11:41:45;12.64
11:41:46;12.44
11:41:47;12.44
11:41:48;12.42
11:41:49;12.86
11:41:50;12.87
11:41:51;12.54
11:41:52;12.42
11:41:53;12.38
11:41:54;12.8
11:41:55;12.82
11:41:56;12.41
11:41:57;12.38
11:41:58;12.39
11:41:59;12.39
11:42:00;12.38
11:42:01;12.44
11:42:02;12.39
11:42:03;13.32
11:42:04;12.17
11:42:05;12.2
11:42:06;12.17
11:42:07;12.24
11:42:08;13.15
11:42:09;13.07
11:42:10;13.09
11:42:11;12.44
11:42:12;12.41
11:42:13;12.42
11:42:14;12.43
11:42:15;13.18
11:42:16;12.4
11:42:17;12.37
11:42:18;12.35
11:42:19;12.4
11:42:20;12.34
11:42:21;12.4
11:42:22;12.39
11:42:23;12.4
11:42:24;12.71
11:42:25;12.14
11:42:26;12.18
11:42:27;12.15
11:42:28;12.11
11:42:29;12.13
11:42:30;12.14
11:42:31;12.14
11:42:32;12.16
11:42:33;12.15
11:42:34;12.13
11:42:35;12.13
11:42:36;13.68
11:42:37;12.76
11:42:38;12.38
11:42:39;12.38
11:42:40;12.38
11:42:41;12.74
11:42:42;12.38
11:42:43;12.84
11:42:44;13.16
11:42:45;13.61
11:42:46;12.73
11:42:47;12.45
11:42:48;12.38
11:42:49;12.39
11:42:50;12.36
11:42:51;12.43
11:42:52;12.39
11:42:53;12.39
11:42:54;12.47
11:42:55;12.4
11:42:56;12.14
11:42:57;12.18
11:42:58;12.12
11:42:59;12.17
11:43:00;12.13
11:43:01;12.13
11:43:02;12.11
11:43:03;12.18
11:43:04;12.13
11:43:05;12.19
11:43:06;12.17
11:43:07;12.16
11:43:08;12.13
11:43:09;12.15
11:43:10;12.16
11:43:11;12.95
11:43:12;13.42
11:43:13;12.75
11:43:14;12.38
11:43:15;12.52
11:43:16;12.38
11:43:17;12.35
11:43:18;12.59
11:43:19;12.39
11:43:20;12.38
11:43:21;12.42
11:43:22;12.37
11:43:23;12.41
11:43:24;12.42
11:43:25;12.38
11:43:26;13.23
11:43:27;12.14
11:43:28;12.1
11:43:29;12.05
11:43:30;12.07
11:43:31;12.09
11:43:32;12
11:43:33;12.01
11:43:34;12.07
11:43:35;12.05
11:43:36;12.03
11:43:37;12.06
11:43:38;12.01
11:43:39;13.17
11:43:40;12.33
11:43:41;12.27
11:43:42;12.3
11:43:43;12.33
11:43:44;12.33
11:43:45;12.9
11:43:46;12.18
11:43:47;12.16
11:43:48;12.17
11:43:49;12.17
11:43:50;12.16
11:43:51;12.15
11:43:52;12.16
11:43:53;12.57
11:43:54;11.95
11:43:55;11.93
11:43:56;11.93
11:43:57;11.92
11:43:58;11.93
11:43:59;11.91
11:44:00;11.91
11:44:01;11.94
11:44:02;11.92
11:44:03;11.92
11:44:04;11.9
11:44:05;11.92
11:44:06;11.91
11:44:07;11.91
11:44:08;11.91
11:44:09;11.91
11:44:10;12.67
11:44:11;12.15
11:44:12;12.17
11:44:13;12.5
11:44:14;12.41
11:44:15;13.07
11:44:16;12.87
11:44:17;12.15
11:44:18;12.16
11:44:19;12.47
11:44:20;12.5
11:44:21;12.16
11:44:22;12.16
11:44:23;12.13
11:44:24;12.15
11:44:25;12.14
11:44:26;12.45
11:44:27;12.14
11:44:28;12.17
11:44:29;12.14
11:44:30;12.16
11:44:31;12.15
11:44:32;12.14
11:44:33;12.27
11:44:34;12.43
11:44:35;11.92
11:44:36;11.9
11:44:37;11.89
11:44:38;11.91
11:44:39;11.9
11:44:40;11.98
11:44:41;11.96
11:44:42;12.02
11:44:43;12.01
11:44:44;12.05
11:44:45;13.35
11:44:46;12.24
11:44:47;12.22
11:44:48;12.26
11:44:49;12.25
11:44:50;12.26
11:44:51;12.29
11:44:52;12.26
11:44:53;12.45
11:44:54;12.12
11:44:55;12.02
11:44:56;12
11:44:57;12.03
11:44:58;12.05
11:44:59;12.11
11:45:00;12.1
11:45:01;12.07
11:45:02;12.09
11:45:03;12.13
11:45:04;12.45
11:45:05;12.79
11:45:06;12.41
11:45:07;12.36
11:45:08;12.4
11:45:09;12.4
11:45:10;12.41
11:45:11;12.41
11:45:12;12.35
11:45:13;12.62
11:45:14;12.41
11:45:15;13.68
11:45:16;12.36
11:45:17;12.36
11:45:18;13.37
11:45:19;13.22
11:45:20;12.76
11:45:21;12.31
11:45:22;12.38
11:45:23;12.36
11:45:24;12.34
11:45:25;12.32
11:45:26;12.37
11:45:27;12.4
11:45:28;14.86
11:45:29;12.15
11:45:30;12.1
11:45:31;12.17
11:45:32;12.11
11:45:33;12.15
11:45:34;12.09
11:45:35;12.15
11:45:36;12.15
11:45:37;12.13
11:45:38;12.11
11:45:39;12.09
11:45:40;12.08
11:45:41;12.16
11:45:42;12.11
11:45:43;12.13
11:45:44;12.1
11:45:45;12.94
11:45:46;12.39
11:45:47;12.38
11:45:48;12.37
11:45:49;12.37
11:45:50;13.07
11:45:51;12.38
11:45:52;12.39
11:45:53;12.39
11:45:54;12.39
11:45:55;13.02
11:45:56;12.1
11:45:57;12.14
11:45:58;12.13
11:45:59;12.11
11:46:00;12.19
11:46:01;12.09
11:46:02;12.1
11:46:03;12.1
11:46:04;13.01
11:46:05;12.36
11:46:06;12.41
11:46:07;12.37
11:46:08;12.42
11:46:09;12.38
11:46:10;12.5
11:46:11;12.38
11:46:12;12.46
11:46:13;12.33
11:46:14;12.39
11:46:15;12.44


Average Power : 12.273180327868863
