time elapsed;power;
1;11,67;
2;11,77;
3;11,67;
4;11,66;
5;11,82;
6;11,66;
7;11,66;
8;11,82;
9;11,68;
10;11,67;
11;11,76;
12;11,67;
13;11,68;
14;11,89;
15;11,67;
16;11,65;
17;11,76;
18;11,65;
19;11,67;
20;11,75;
21;11,67;
22;11,66;
23;11,76;
24;11,65;
25;11,68;
26;11,67;
27;11,65;
28;11,66;
29;11,65;
30;11,66;
31;11,66;
32;13,9;
33;13,71;
34;11,68;
35;11,73;
36;11,65;
37;11,66;
38;11,66;
39;11,66;
40;11,67;
41;11,71;
42;11,68;
43;11,66;
44;11,66;
45;11,66;
46;11,65;
47;11,65;
48;11,66;
49;11,67;
50;11,73;
51;11,68;
52;11,67;
53;11,66;
54;11,69;
55;11,67;
56;11,66;
57;11,67;
58;11,67;
59;11,75;
60;11,68;
61;11,66;
62;11,67;
63;11,66;
64;11,69;
65;11,65;
66;11,67;
67;11,65;
68;11,72;
69;11,67;
70;11,65;
71;11,64;
72;11,66;
73;11,65;
74;11,66;
75;11,65;
76;11,65;
77;11,7;
78;11,65;
79;11,68;
80;11,64;
81;11,64;
82;11,65;
83;11,66;
84;11,67;
85;11,66;
86;11,71;
87;11,66;
88;11,64;
89;11,66;
90;11,64;
91;11,75;
92;11,65;
93;11,7;
94;11,67;
95;11,66;
96;11,74;
97;11,65;
98;11,65;
99;11,76;
100;11,64;
101;11,65;
102;11,73;
103;11,67;
104;11,65;
105;11,74;
106;11,64;
107;11,64;
108;11,74;
109;11,67;
110;11,65;
111;11,74;
112;11,66;
113;11,65;
114;11,75;
115;11,65;
116;11,64;
117;11,74;
118;11,66;
119;11,66;
120;11,75;
121;11,64;
122;11,65;
123;11,73;
124;11,66;
125;11,64;
126;11,75;
127;11,64;
128;11,65;
129;11,75;
130;9,07;
131;9,05;
132;9,15;
133;9,06;
134;9,07;
135;9,2;
136;9,06;
137;9,05;
138;9,16;
139;9,05;
140;9,05;
141;9,15;
142;9,05;
143;9,06;
144;9,17;
145;9,05;
146;9,06;
147;9,15;
148;9,05;
149;9,05;
150;9,16;
151;9,12;
152;11,18;
153;11,16;
154;9,06;
155;9,09;
156;9,26;
157;9,06;
158;9,1;
159;9,21;
160;9,04;
161;9,13;
162;9,23;
163;9,06;
164;9,13;
165;9,23;
166;9,06;
167;9,13;
168;9,27;
169;9,07;
170;9,12;
171;9,22;
172;9,05;
173;9,14;
174;9,22;
175;9,05;
176;9,13;
177;9,26;
178;9,05;
179;9,13;
180;9,22;
181;9,06;
