time elapsed;power;
1;16,11;
2;16,27;
3;16,28;
4;16,25;
5;16,26;
6;16,27;
7;16,26;
8;16,3;
9;16,21;
10;16,22;
11;16,2;
12;16,16;
13;16,16;
14;16,16;
15;16,21;
16;16,18;
17;16,24;
18;16,36;
19;15,38;
20;13,47;
21;13,49;
22;13,49;
23;14,82;
24;14,58;
25;14,35;
26;13,78;
27;13,46;
28;13,91;
29;13,5;
30;13,39;
31;13,37;
32;13,36;
33;13,38;
34;13,37;
35;13,37;
36;13,37;
37;14,08;
38;13,13;
39;13,11;
40;13,12;
41;13,13;
42;13,12;
43;13,13;
44;13,13;
45;13,13;
46;13,12;
47;13,12;
48;14,03;
49;13,39;
50;13,53;
51;13,37;
52;13,37;
53;13,54;
54;13,39;
55;13,38;
56;13,37;
57;13,59;
58;14,23;
59;14,12;
60;13,13;
61;13,58;
62;13,12;
63;14,48;
64;13,38;
65;13,39;
66;13,47;
67;14,16;
68;14,31;
69;14,34;
70;13,24;
71;13,71;
72;13,12;
73;13,85;
74;13,13;
75;13,12;
76;13,12;
77;13,12;
78;13,1;
79;14,45;
80;13,12;
81;13,99;
82;13,13;
83;15,67;
84;13,39;
85;13,38;
86;13,37;
87;13,37;
88;13,42;
89;13,79;
90;13,11;
91;13,11;
92;13,09;
93;13,11;
94;13,12;
95;13,26;
96;13,08;
97;13,11;
98;13,28;
99;13,12;
100;13,32;
101;13,11;
102;13,11;
103;13,11;
104;13,17;
105;13,19;
106;13,39;
107;13,18;
108;13,84;
109;13,87;
110;13,76;
111;13,68;
112;13,45;
113;13,45;
114;13,66;
115;13,43;
116;13,72;
117;13,44;
118;13,87;
119;13,49;
120;13,78;
121;14,39;
122;14,26;
123;14,01;
124;13,86;
125;13,85;
126;13,19;
127;13,77;
128;13,21;
129;14,17;
130;13,23;
131;13,79;
132;13,22;
133;14,28;
134;13,35;
135;13,26;
136;13,33;
137;13,93;
138;13,22;
139;13,2;
140;13,2;
141;13,21;
142;13,21;
143;13,22;
144;14,3;
145;14,08;
146;13,45;
147;13,44;
148;13,46;
149;13,48;
150;14,19;
151;13,18;
152;13,42;
153;13,96;
154;13,41;
155;13,19;
156;13,22;
157;13,19;
158;13,4;
159;13,97;
160;13,21;
161;13,19;
162;13,2;
163;13,2;
164;13,41;
165;13,2;
166;13,41;
167;13,2;
168;13,21;
169;13,2;
170;13,67;
171;14,5;
172;13,48;
173;13,45;
174;13,67;
175;13,45;
176;13,67;
177;13,71;
178;13,49;
179;14,33;
180;13,53;
181;13,46;
182;13,46;
