time elapsed;power;
1;9,13;
2;8,72;
3;8,5;
4;8,47;
5;8,51;
6;8,58;
7;8,57;
8;8,56;
9;8,55;
10;8,58;
11;8,55;
12;8,57;
13;8,54;
14;8,58;
15;8,58;
16;8,57;
17;8,57;
18;8,51;
19;8,5;
20;8,5;
21;8,51;
22;8,48;
23;9,16;
24;8,46;
25;8,52;
26;8,41;
27;8,49;
28;8,5;
29;8,55;
30;8,55;
31;8,63;
32;9,94;
33;8,59;
34;8,59;
35;8,52;
36;8,51;
37;8,53;
38;8,51;
39;8,55;
40;8,99;
41;8,51;
42;8,52;
43;8,5;
44;8,47;
45;8,49;
46;8,55;
47;8,49;
48;8,49;
49;8,54;
50;8,5;
51;8,52;
52;8,55;
53;8,49;
54;8,48;
55;8,52;
56;8,51;
57;8,5;
58;8,56;
59;8,48;
60;8,5;
61;8,61;
62;8,55;
63;8,56;
64;8,59;
65;8,56;
66;8,49;
67;8,55;
68;8,5;
69;8,48;
70;8,51;
71;8,4;
72;8,51;
73;8,4;
74;8,49;
75;8,48;
76;8,51;
77;8,5;
78;8,48;
79;8,55;
80;8,48;
81;8,49;
82;8,52;
83;8,5;
84;8,51;
85;8,54;
86;8,56;
87;8,55;
88;8,58;
89;8,55;
90;8,54;
91;8,52;
92;8,49;
93;8,5;
94;8,55;
95;8,47;
96;8,49;
97;8,53;
98;8,49;
99;8,5;
100;8,5;
101;8,5;
102;8,47;
103;8,52;
104;8,41;
105;8,48;
106;8,43;
107;8,48;
108;8,42;
109;8,55;
110;8,48;
111;8,46;
112;8,54;
113;8,51;
114;8,47;
115;8,53;
116;8,49;
117;8,48;
118;8,53;
119;8,51;
120;8,5;
121;8,51;
122;8,47;
123;8,5;
124;8,53;
125;8,49;
126;8,5;
127;8,52;
128;8,59;
129;6,23;
130;4,83;
131;4,83;
132;5,29;
133;5,02;
134;4,99;
135;4,96;
136;4,75;
137;4,72;
138;4,72;
139;4,74;
140;4,72;
141;4,72;
142;4,74;
143;4,72;
144;4,73;
145;4,74;
146;4,75;
147;4,73;
148;4,74;
149;4,71;
150;4,73;
151;4,72;
152;4,75;
153;5,77;
154;4,74;
155;4,61;
156;4,99;
157;4,65;
158;4,72;
159;4,73;
160;4,7;
161;4,72;
162;4,73;
163;4,72;
164;4,7;
165;4,72;
166;4,72;
167;4,7;
168;4,71;
169;4,72;
170;4,72;
171;4,71;
172;4,71;
173;4,7;
174;4,73;
175;4,69;
176;4,72;
177;4,71;
178;4,72;
179;4,7;
180;4,72;
181;4,71;
