time elapsed;power;
1;9,01;
2;8,99;
3;9,01;
4;8,97;
5;8,98;
6;8,97;
7;9,06;
8;8,99;
9;8,98;
10;8,99;
11;9,0;
12;8,99;
13;8,96;
14;8,99;
15;8,99;
16;9,01;
17;9,0;
18;8,99;
19;9,0;
20;8,99;
21;8,97;
22;9,0;
23;9,0;
24;9,0;
25;9,01;
26;8,98;
27;8,99;
28;9,0;
29;8,98;
30;8,99;
31;8,99;
32;9,01;
33;8,99;
34;9,01;
35;8,98;
36;8,99;
37;9,0;
38;8,98;
39;9,01;
40;9,0;
41;9,01;
42;9,0;
43;9,0;
44;9,0;
45;9,01;
46;8,97;
47;8,97;
48;8,97;
49;8,98;
50;9,0;
51;9,01;
52;8,98;
53;9,01;
54;8,99;
55;9,0;
56;9,01;
57;10,45;
58;9,19;
59;8,99;
60;9,03;
61;8,98;
62;8,98;
63;8,98;
64;8,98;
65;8,97;
66;9,0;
67;8,99;
68;8,98;
69;8,99;
70;8,97;
71;8,99;
72;8,99;
73;8,98;
74;8,96;
75;9,0;
76;9,03;
77;8,97;
78;8,95;
79;9,0;
80;9,0;
81;8,98;
82;9,02;
83;8,99;
84;8,99;
85;8,98;
86;8,97;
87;9,05;
88;9,01;
89;8,98;
90;8,99;
91;9,04;
92;8,96;
93;8,97;
94;9,02;
95;8,98;
96;5,23;
97;5,25;
98;5,24;
99;5,23;
100;5,26;
101;5,22;
102;5,23;
103;5,26;
104;5,23;
105;5,22;
106;5,27;
107;5,23;
108;5,23;
109;5,25;
110;5,23;
111;5,22;
112;5,25;
113;5,22;
114;5,23;
115;5,26;
116;5,22;
117;5,25;
118;5,26;
119;5,22;
120;5,22;
121;5,25;
122;5,22;
123;5,22;
124;5,25;
125;5,22;
126;5,22;
127;5,24;
128;5,23;
129;5,22;
130;5,25;
131;5,21;
132;5,22;
133;5,25;
134;5,22;
135;5,21;
136;5,24;
137;5,22;
138;5,22;
139;5,24;
140;5,22;
141;5,22;
142;5,25;
143;5,22;
144;5,22;
145;5,24;
146;5,21;
147;5,21;
148;5,26;
149;5,22;
150;5,3;
151;5,25;
152;5,23;
153;5,22;
154;5,25;
155;5,22;
156;5,23;
157;5,24;
158;5,22;
159;5,22;
160;5,24;
161;5,21;
162;5,21;
163;5,26;
164;5,22;
165;5,22;
166;5,24;
167;5,22;
168;5,22;
169;5,24;
170;5,21;
171;5,22;
172;5,23;
173;5,21;
174;5,21;
175;5,25;
176;5,21;
177;5,32;
178;6,72;
179;5,17;
180;4,89;
181;4,87;
