time elapsed;power;
1;8,75;
2;8,14;
3;8,07;
4;8,08;
5;8,09;
6;8,08;
7;8,07;
8;8,07;
9;8,08;
10;8,09;
11;8,05;
12;8,04;
13;8,02;
14;8,09;
15;8,09;
16;8,07;
17;8,03;
18;8,03;
19;8,1;
20;8,09;
21;8,08;
22;8,08;
23;8,04;
24;8,04;
25;8,07;
26;8,11;
27;8,08;
28;8,03;
29;8,02;
30;8,02;
31;8,09;
32;8,08;
33;8,06;
34;8,03;
35;8,04;
36;8,04;
37;8,07;
38;8,09;
39;8,06;
40;8,02;
41;8,02;
42;8,04;
43;8,08;
44;8,08;
45;8,07;
46;10,09;
47;10,48;
48;8,09;
49;8,07;
50;8,14;
51;8,07;
52;8,08;
53;8,11;
54;8,11;
55;8,02;
56;8,07;
57;8,03;
58;8,09;
59;8,09;
60;8,1;
61;8,23;
62;8,16;
63;8,09;
64;8,07;
65;8,12;
66;8,1;
67;8,09;
68;8,1;
69;8,05;
70;8,06;
71;8,06;
72;8,08;
73;8,06;
74;8,1;
75;8,06;
76;8,04;
77;8,06;
78;8,06;
79;8,06;
80;8,11;
81;8,03;
82;8,02;
83;8,02;
84;8,09;
85;8,08;
86;8,09;
87;8,03;
88;8,04;
89;8,08;
90;8,08;
91;8,08;
92;8,13;
93;8,02;
94;8,02;
95;8,06;
96;8,09;
97;8,09;
98;8,11;
99;8,03;
100;8,04;
101;4,31;
102;4,33;
103;4,33;
104;4,36;
105;4,27;
106;4,3;
107;4,52;
108;4,36;
109;4,32;
110;4,32;
111;4,28;
112;4,29;
113;4,31;
114;4,29;
115;4,28;
116;4,37;
117;4,33;
118;4,34;
119;4,31;
120;4,28;
121;4,27;
122;4,58;
123;4,33;
124;4,33;
125;4,34;
126;4,27;
127;4,27;
128;4,3;
129;4,28;
130;4,33;
131;4,35;
132;4,32;
133;4,28;
134;4,31;
135;4,27;
136;4,32;
137;4,61;
138;4,32;
139;4,32;
140;4,35;
141;4,27;
142;4,28;
143;4,3;
144;4,27;
145;4,32;
146;4,36;
147;4,32;
148;4,27;
149;4,3;
150;4,27;
151;4,31;
152;4,34;
153;4,32;
154;4,26;
155;4,33;
156;4,27;
157;4,32;
158;4,34;
159;4,31;
160;4,27;
161;4,31;
162;4,27;
163;4,31;
164;4,35;
165;4,31;
166;4,26;
167;5,84;
168;4,37;
169;4,31;
170;4,35;
171;4,31;
172;4,27;
173;4,27;
174;4,31;
175;4,31;
176;4,32;
177;4,29;
178;4,26;
179;4,27;
180;4,32;
181;4,32;
