time elapsed;power;
1;10,7;
2;10,68;
3;10,62;
4;10,6;
5;10,61;
6;10,58;
7;12,63;
8;10,64;
9;10,64;
10;10,6;
11;10,65;
12;10,6;
13;10,6;
14;10,64;
15;10,61;
16;10,6;
17;11,42;
18;10,61;
19;10,61;
20;10,62;
21;10,62;
22;10,61;
23;10,63;
24;10,6;
25;11,25;
26;10,66;
27;10,61;
28;10,59;
29;10,87;
30;10,62;
31;11,07;
32;11,05;
33;11,6;
34;10,62;
35;10,63;
36;11,07;
37;10,64;
38;10,87;
39;10,64;
40;10,63;
41;10,68;
42;10,64;
43;10,63;
44;10,67;
45;10,65;
46;10,63;
47;10,62;
48;10,6;
49;10,62;
50;10,64;
51;10,62;
52;10,59;
53;10,63;
54;10,6;
55;10,59;
56;10,63;
57;11,32;
58;10,97;
59;11,37;
60;11,17;
61;10,63;
62;10,62;
63;10,63;
64;10,61;
65;10,62;
66;10,62;
67;10,7;
68;10,63;
69;10,63;
70;10,62;
71;10,62;
72;10,62;
73;10,63;
74;10,62;
75;10,59;
76;10,6;
77;10,6;
78;10,61;
79;10,71;
80;10,63;
81;10,63;
82;10,63;
83;10,63;
84;11,47;
85;10,59;
86;10,56;
87;10,49;
88;12,36;
89;12,22;
90;10,51;
91;10,55;
92;11,32;
93;11,22;
94;10,51;
95;10,49;
96;10,49;
97;10,49;
98;10,47;
99;10,46;
100;10,47;
101;10,45;
102;10,45;
103;10,46;
104;10,45;
105;10,45;
106;10,46;
107;10,46;
108;10,44;
109;10,46;
110;10,47;
111;10,46;
112;10,46;
113;10,44;
114;10,45;
115;10,45;
116;10,45;
117;10,44;
118;11,26;
119;10,8;
120;11,36;
121;10,45;
122;10,45;
123;11,52;
124;11,11;
125;10,45;
126;10,58;
127;10,48;
128;10,49;
129;11,16;
130;11,44;
131;10,49;
132;10,55;
133;11,55;
134;10,48;
135;10,49;
136;10,51;
137;10,45;
138;10,48;
139;10,46;
140;10,45;
141;10,48;
142;10,46;
143;10,48;
144;10,49;
145;10,45;
146;10,45;
147;10,48;
148;10,44;
149;10,46;
150;10,5;
151;10,47;
152;11,84;
153;10,79;
154;10,92;
155;11,29;
156;10,83;
157;11,35;
158;10,8;
159;11,07;
160;10,47;
161;10,47;
162;10,49;
163;11,46;
164;11,08;
165;10,48;
166;10,45;
167;10,46;
168;10,51;
169;10,92;
170;10,48;
171;10,51;
172;10,5;
173;10,48;
174;10,52;
175;10,5;
176;10,48;
177;10,51;
178;11,6;
179;11,1;
180;10,48;
181;10,44;
