time elapsed;power;
1;9,04;
2;8,96;
3;8,97;
4;8,95;
5;8,96;
6;8,96;
7;8,97;
8;8,98;
9;8,99;
10;8,96;
11;8,99;
12;8,98;
13;9,0;
14;9,04;
15;9,04;
16;9,05;
17;9,07;
18;9,03;
19;9,01;
20;8,96;
21;8,98;
22;8,98;
23;8,97;
24;9,0;
25;9,0;
26;8,97;
27;8,99;
28;8,99;
29;8,96;
30;8,96;
31;9,0;
32;8,98;
33;8,96;
34;9,01;
35;8,97;
36;8,95;
37;9,0;
38;8,98;
39;8,97;
40;8,99;
41;8,97;
42;8,97;
43;9,0;
44;8,98;
45;8,98;
46;9,0;
47;8,98;
48;8,99;
49;10,22;
50;8,98;
51;8,98;
52;9,01;
53;8,98;
54;9,0;
55;9,0;
56;8,98;
57;9,01;
58;9,0;
59;8,97;
60;8,98;
61;9,01;
62;8,95;
63;8,97;
64;9,0;
65;8,97;
66;8,97;
67;9,0;
68;8,95;
69;8,99;
70;8,99;
71;8,95;
72;8,97;
73;9,02;
74;8,97;
75;8,98;
76;8,98;
77;8,97;
78;8,98;
79;8,99;
80;8,97;
81;8,98;
82;9,01;
83;8,97;
84;8,96;
85;8,98;
86;8,96;
87;8,97;
88;9,01;
89;8,95;
90;8,96;
91;9,02;
92;8,97;
93;8,96;
94;8,97;
95;8,97;
96;8,98;
97;9,0;
98;8,98;
99;8,96;
100;9,0;
101;8,98;
102;8,98;
103;9,0;
104;8,97;
105;8,98;
106;8,99;
107;8,98;
108;8,98;
109;9,59;
110;8,99;
111;8,97;
112;9,02;
113;8,96;
114;8,97;
115;8,99;
116;8,98;
117;8,96;
118;9,01;
119;8,96;
120;8,97;
121;8,99;
