time elapsed;power;
1;9,08;
2;9,12;
3;9,06;
4;9,19;
5;9,11;
6;9,12;
7;9,62;
8;9,1;
9;9,27;
10;9,56;
11;9,1;
12;9,17;
13;10,5;
14;9,98;
15;9,08;
16;9,29;
17;9,09;
18;9,08;
19;9,14;
20;9,09;
21;9,37;
22;9,11;
23;9,32;
24;9,1;
25;9,99;
26;9,49;
27;9,08;
28;9,1;
29;9,13;
30;9,11;
31;9,71;
32;10,43;
33;9,23;
34;9,42;
35;9,11;
36;9,44;
37;9,12;
38;9,14;
39;9,16;
40;9,15;
41;9,61;
42;9,13;
43;9,18;
44;9,38;
45;10,39;
46;9,42;
47;9,09;
48;9,09;
49;9,14;
50;9,09;
51;9,1;
52;9,12;
53;9,11;
54;9,83;
55;9,18;
56;9,88;
57;10,09;
58;10,3;
59;9,21;
60;10,91;
61;10,47;
62;9,71;
63;9,21;
64;9,17;
65;9,18;
66;9,62;
67;9,23;
68;10,42;
69;9,18;
70;9,18;
71;9,95;
72;9,21;
73;9,15;
74;9,44;
75;9,13;
76;9,1;
77;9,11;
78;9,14;
79;10,94;
80;9,11;
81;9,13;
82;9,55;
83;10,06;
84;9,16;
85;9,12;
86;9,12;
87;9,18;
88;9,14;
89;10,61;
90;9,53;
91;9,14;
92;9,13;
93;9,09;
94;9,1;
95;9,46;
96;9,09;
97;9,1;
98;9,08;
99;9,1;
100;9,1;
101;9,46;
102;9,25;
103;9,1;
104;9,22;
105;9,13;
106;9,1;
107;9,13;
108;9,11;
109;9,09;
110;9,1;
111;9,09;
112;9,11;
113;9,11;
114;9,11;
115;9,07;
116;9,1;
117;9,13;
118;9,1;
119;9,13;
120;11,59;
121;9,78;
