time elapsed;power;
1;8,96;
2;8,95;
3;8,94;
4;8,98;
5;8,96;
6;8,95;
7;8,98;
8;8,94;
9;8,95;
10;8,96;
11;8,94;
12;8,96;
13;9,01;
14;8,97;
15;8,94;
16;9,0;
17;8,97;
18;8,96;
19;9,0;
20;8,97;
21;8,96;
22;9,0;
23;8,97;
24;8,96;
25;8,99;
26;8,96;
27;8,97;
28;8,99;
29;8,96;
30;8,97;
31;8,98;
32;8,98;
33;8,97;
34;8,99;
35;8,95;
36;8,96;
37;9,0;
38;8,95;
39;8,96;
40;8,99;
41;8,98;
42;8,96;
43;8,98;
44;8,97;
45;8,97;
46;9,01;
47;10,12;
48;8,99;
49;9,0;
50;8,97;
51;8,95;
52;8,98;
53;8,97;
54;8,96;
55;8,98;
56;8,97;
57;8,99;
58;8,98;
59;8,98;
60;8,96;
61;8,99;
62;8,95;
63;8,97;
64;8,99;
65;8,96;
66;8,96;
67;8,98;
68;8,95;
69;8,97;
70;8,99;
71;8,97;
72;8,96;
73;8,98;
74;8,97;
75;8,95;
76;8,98;
77;9,01;
78;8,94;
79;8,96;
80;8,96;
81;8,95;
82;9,01;
83;8,95;
84;8,97;
85;9,04;
86;8,97;
87;8,97;
88;8,97;
89;8,95;
90;8,95;
91;9,01;
92;8,96;
93;8,95;
94;9,0;
95;8,96;
96;8,96;
97;8,98;
98;8,96;
99;8,97;
100;8,97;
101;8,93;
102;8,95;
103;8,95;
104;8,97;
105;8,99;
106;10,25;
107;8,96;
108;8,96;
109;8,98;
110;8,95;
111;8,93;
112;8,95;
113;8,95;
114;8,98;
115;8,96;
116;8,97;
117;8,96;
118;8,95;
119;8,96;
120;8,96;
121;8,96;
